MonsoonIntensity,TopographyDrainage,RiverManagement,Deforestation,Urbanization,ClimateChange,DamsQuality,Siltation,DrainageSystems,Landslides,Watersheds,DeterioratingInfrastructure,PopulationScore,InactiveDisasterPreparedness,FloodProbability
2,6,0,4,0,9,7,4,2,5,9,0,7,3,0.3204313028103415
4,4,4,4,1,8,2,9,0,3,8,9,10,10,0.5235602754738594
5,9,2,10,9,9,7,9,7,5,9,1,4,7,0.7127221878572423
5,6,6,9,8,7,5,10,7,7,10,6,5,8,0.7552163679792615
0,8,10,10,10,8,3,8,2,10,9,10,7,5,0.7379321131259187
6,9,1,9,6,9,7,1,8,2,3,7,5,10,0.6545100075667978
1,3,7,4,10,4,1,3,10,0,0,9,3,8,0.4003409765299203
8,2,4,4,8,1,8,7,0,10,3,9,8,5,0.569734727610901
7,1,5,10,1,2,5,5,5,5,9,4,4,3,0.4567137686240406
10,6,10,5,5,3,8,3,7,0,3,8,9,2,0.6422438798530663
8,8,8,10,4,5,3,6,4,9,2,7,1,9,0.687484878097601
4,10,1,6,1,6,3,9,0,8,4,9,6,3,0.5021325721285923
10,0,4,8,1,6,8,8,4,6,0,1,3,10,0.5225354601559858
4,0,8,7,10,4,8,9,10,0,10,5,1,2,0.5202946287686712
3,7,1,8,10,0,2,10,5,3,7,3,2,6,0.4343363371496583
9,2,5,1,10,5,1,7,4,5,6,8,3,7,0.5558909891665583
4,5,5,1,4,3,10,6,7,9,7,6,2,3,0.48025590946137514
0,0,0,3,4,3,5,10,0,8,2,4,1,10,0.21575559173989714
5,0,10,2,10,4,1,0,2,2,10,6,1,10,0.40742943479527066
8,5,4,5,2,5,6,6,10,7,5,9,6,3,0.630173760229622
2,7,2,1,4,4,2,7,8,10,1,4,0,1,0.306064186230103
5,9,0,5,8,8,5,9,7,10,9,7,9,7,0.7572855079308237
1,5,0,1,0,1,5,1,3,4,5,2,6,5,0.12295439653010123
7,7,2,8,2,5,7,4,5,6,2,4,6,5,0.5227121634965405
5,9,8,8,3,10,5,10,7,5,9,0,7,7,0.7075739026994796
3,4,2,10,10,1,1,0,0,8,6,3,0,0,0.25545830827555643
2,2,4,2,10,10,9,10,0,7,0,10,4,10,0.5536331541166638
6,9,7,0,2,4,8,9,3,0,6,10,3,1,0.48602592159132985
7,0,3,4,9,9,0,9,5,6,0,0,9,7,0.48275518114115745
10,3,4,8,6,9,10,7,9,7,4,7,4,6,0.7747124173750355
4,1,5,4,5,9,8,0,2,10,2,1,3,4,0.3540276143096667
1,7,9,2,2,7,7,5,6,6,0,9,6,7,0.507764499805741
9,2,10,0,3,1,1,10,8,3,10,8,1,7,0.5528949290152033
6,3,3,1,6,6,5,10,9,2,6,0,1,3,0.3878531987068131
7,7,2,9,1,8,2,4,0,1,5,1,8,8,0.44687604315547413
1,3,4,9,5,8,7,8,1,0,6,0,5,10,0.3875793894456137
3,3,2,9,1,3,0,8,5,4,4,9,6,8,0.41912937315411264
8,5,6,5,0,10,8,9,7,1,3,9,2,8,0.6454934015761533
9,1,5,0,1,1,7,4,10,1,10,9,2,7,0.4689878177476302
4,10,5,7,8,0,9,4,0,2,7,4,8,9,0.5498303881546975
8,10,5,6,5,7,4,5,5,7,6,10,10,8,0.7871246404943335
9,7,9,6,9,1,2,3,9,9,7,8,10,3,0.7474875434447559
4,1,1,6,7,8,2,2,3,2,10,3,8,4,0.35235931939386106
9,5,8,2,0,10,8,5,3,5,1,2,3,8,0.5530156917395527
3,3,6,6,3,2,9,9,8,4,6,10,2,7,0.5278527700576473
2,1,8,10,3,7,7,5,6,9,5,1,8,6,0.5197597360207078
7,9,6,2,10,2,10,7,7,7,2,3,0,1,0.5528473447370953
7,4,8,2,6,3,0,7,10,4,10,1,3,2,0.4645465534374702
1,7,6,1,5,1,5,6,0,1,0,4,2,3,0.18328715345244437
9,7,7,7,10,8,10,8,6,2,1,8,2,6,0.7624317809233201
2,3,4,0,6,8,8,2,0,10,0,2,10,4,0.33535745829419605
8,3,9,6,8,2,0,0,6,2,7,6,0,9,0.49286520230467146
0,10,3,7,5,5,0,4,1,10,8,0,1,8,0.3624359355744584
8,9,7,3,4,3,5,2,8,5,9,1,0,4,0.5008845406807498
8,5,3,5,8,8,7,4,3,3,6,10,5,6,0.6275336045313117
8,5,8,2,4,10,8,9,2,2,2,6,8,8,0.651092683929109
7,0,9,6,10,3,5,0,2,1,5,2,0,10,0.4109646159234513
5,2,2,1,3,8,9,4,6,3,8,8,10,0,0.4357465667459552
7,0,6,6,9,4,8,6,0,3,4,9,10,8,0.5895273546947326
3,8,5,6,0,1,6,8,5,6,7,2,1,7,0.4097377996375944
8,10,4,7,5,0,1,6,4,7,3,0,2,8,0.4986785657592595
6,1,3,9,5,3,2,0,6,2,3,8,4,6,0.3778577757323672
5,3,6,7,10,6,10,6,1,1,7,3,2,3,0.467843430925335
5,3,9,3,4,1,10,6,7,10,3,9,8,8,0.6268299072565968
6,8,3,2,4,7,9,4,7,2,7,0,9,3,0.5008273849499213
0,4,3,4,0,4,2,8,9,2,8,2,8,2,0.27417767624536726
1,0,9,7,0,10,4,2,6,0,2,5,4,4,0.2974366755239545
2,6,8,4,6,0,8,0,7,8,5,10,9,5,0.5288561849159311
1,1,8,3,1,10,1,6,4,8,3,8,0,5,0.3453216857505627
4,7,6,7,3,5,3,9,6,5,1,10,9,10,0.6400757403093394
7,9,1,0,10,2,3,5,3,6,0,6,6,10,0.5115040085796266
7,0,1,9,3,4,9,2,1,9,7,8,5,5,0.4929639491367483
5,10,0,9,10,5,8,6,2,10,2,6,9,0,0.6263771517193923
9,7,3,0,4,2,3,0,8,7,0,6,10,4,0.46971050039501544
6,0,0,8,10,6,0,2,1,3,9,1,3,9,0.36296087854170805
0,2,5,6,3,1,9,6,7,1,10,2,5,8,0.3417277165568011
8,1,0,8,8,2,5,4,3,1,9,2,4,6,0.40804161638391817
6,9,10,8,1,10,3,8,6,4,1,0,2,5,0.5634106147762754
6,7,5,4,7,2,0,9,0,4,9,9,3,9,0.5392069573418273
6,4,0,8,3,7,7,5,10,8,10,7,8,0,0.6012132062557038
6,5,1,8,9,2,8,6,5,5,0,10,8,6,0.5998234375236207
0,3,2,7,5,5,9,3,4,4,0,8,8,0,0.31051513857313046
6,4,7,3,4,6,0,0,10,10,6,5,5,8,0.5437507507163492
8,7,8,2,7,7,8,6,5,1,7,2,9,6,0.6364104027793176
3,2,5,3,6,10,7,7,8,6,6,10,6,7,0.6107446511651655
6,8,7,3,6,2,2,1,0,7,1,0,1,3,0.3000548550084987
0,10,1,4,9,2,3,8,10,0,7,0,8,2,0.36079893352819936
3,10,3,8,8,1,3,5,9,10,3,10,7,8,0.6718437738034361
4,1,0,7,0,9,10,2,2,8,2,2,3,7,0.332928097948131
10,4,4,3,10,9,8,4,0,1,10,2,7,3,0.5604610649599496
2,2,0,2,6,0,3,6,4,4,10,5,5,7,0.2782832155669005
3,6,8,8,0,5,3,2,9,1,10,4,4,4,0.4390836815225675
4,3,5,0,4,7,5,10,8,8,5,2,3,9,0.49066623117813507
10,4,8,6,0,1,3,9,0,4,8,8,1,10,0.5690520633083826
9,1,6,2,6,4,6,0,3,10,0,2,6,2,0.3974656800601404
0,6,0,6,6,7,8,7,8,8,6,5,4,6,0.48778752536305087
2,5,3,5,10,0,9,8,1,9,7,9,8,8,0.5667765722223739
9,6,0,0,7,9,0,1,9,2,7,1,2,7,0.42996975202334753
0,3,0,3,8,10,8,8,5,7,0,0,0,1,0.2604428461618482
9,8,10,5,8,0,5,0,8,1,10,4,8,3,0.6164295774877114
3,6,10,7,5,0,4,9,10,10,6,0,2,0,0.4770296521366522
10,1,1,10,4,0,0,2,9,0,1,2,9,4,0.36276893518526926
3,4,4,0,7,3,0,10,8,7,0,1,5,4,0.32889130156120844
4,7,3,7,0,5,3,10,8,7,7,4,8,5,0.5518147659892102
7,1,4,7,6,0,8,2,3,5,1,5,1,4,0.3549911460005411
1,3,6,0,1,6,10,7,1,10,7,2,8,5,0.38310430827317676
6,9,4,3,2,10,8,2,3,0,4,8,8,0,0.49227963565406974
5,4,8,1,9,9,9,9,1,2,5,1,5,0,0.4621282048642611
8,5,0,2,5,7,7,8,0,7,3,4,2,9,0.49411294529111527
10,7,6,3,6,7,2,2,6,0,7,7,9,0,0.5673328691567388
7,3,7,2,1,1,3,6,7,4,1,1,1,3,0.2983601358171052
4,9,6,6,3,0,0,2,4,5,6,8,3,1,0.37789719677490075
4,0,7,2,5,7,9,2,0,2,5,9,2,1,0.30754577211109246
4,5,6,1,9,3,4,3,9,0,6,2,0,5,0.3563372825262075
8,6,1,9,4,10,10,3,5,3,5,8,9,10,0.7228962181512394
3,2,8,5,6,7,4,4,1,7,9,2,6,6,0.4279230243479381
1,8,2,3,7,5,3,7,9,7,7,10,8,9,0.5959499618112072
3,0,1,9,2,5,8,8,4,7,5,5,3,8,0.4316861365879775
0,7,6,8,2,2,7,6,6,1,6,4,6,6,0.4002024913899564
1,6,6,0,5,9,3,3,7,10,6,7,0,8,0.4530780712686347
0,8,4,3,4,6,7,9,6,6,7,4,10,0,0.4506478093041414
8,2,0,5,8,3,9,8,4,10,0,5,5,7,0.5585412181367877
7,1,10,0,4,6,2,4,1,2,10,6,0,8,0.4148322158710854
7,6,8,7,4,8,2,4,10,10,0,5,6,6,0.6708058757066407
5,10,5,0,1,5,4,6,1,0,1,6,3,0,0.29706676857748576
7,8,3,10,7,3,7,9,2,7,6,1,8,2,0.596898622591901
1,2,9,4,8,9,9,9,5,10,8,6,2,4,0.5878043976136441
9,4,3,5,5,0,7,3,9,9,8,9,8,6,0.6524808013358805
5,2,2,9,7,6,7,8,10,7,5,3,10,8,0.6489813130796444
10,8,2,6,10,7,9,9,4,0,4,3,9,3,0.6803964084002417
1,5,6,6,4,7,9,10,3,4,3,0,5,10,0.4665405590753128
5,4,8,10,0,7,3,4,0,2,6,7,2,6,0.4387242701253925
7,0,3,7,1,7,10,0,4,1,1,0,3,2,0.2748545173478203
5,6,2,4,7,7,7,5,6,1,7,3,8,5,0.5020454466226417
4,4,10,4,8,4,4,9,3,4,7,0,1,9,0.4733084283784702
1,0,1,7,5,7,3,6,9,8,1,7,7,3,0.3864572662674354
4,2,6,3,7,4,7,5,2,7,1,5,5,6,0.4100393259533402
2,7,1,0,0,4,3,4,7,0,9,9,1,8,0.30908641915974766
3,8,7,7,7,7,9,10,1,2,6,0,6,3,0.5180699293819956
7,5,4,7,7,9,1,10,0,9,8,8,3,8,0.6749210828370631
6,8,0,6,10,1,9,9,6,7,3,1,6,6,0.5634304435554199
6,8,1,3,4,4,5,1,5,7,3,8,7,7,0.5031596982907721
3,6,5,0,8,6,5,2,0,5,3,3,9,7,0.38958357203687477
10,2,1,2,2,4,5,7,7,1,1,2,5,10,0.42975615366026526
0,4,6,6,9,4,4,8,5,7,1,1,1,1,0.3063306890606769
3,8,8,0,6,0,4,10,4,6,7,8,10,9,0.5766786659959414
1,3,3,6,8,4,10,7,4,10,9,10,0,6,0.5299652591180126
3,7,10,2,5,9,7,7,4,0,10,2,6,9,0.551046726463916
10,9,8,4,8,9,10,9,2,7,5,9,5,4,0.8473992243591474
4,5,0,10,8,8,1,10,9,7,1,0,0,4,0.46648994831230706
9,5,5,3,8,2,9,4,6,4,6,10,10,8,0.6966055787141724
5,2,6,4,10,0,8,7,9,0,8,3,9,7,0.5210920192951592
7,5,6,8,10,3,6,8,4,10,3,8,9,2,0.6960548420780159
5,0,5,0,8,2,8,5,2,1,9,2,6,9,0.3584068624110956
2,1,3,4,5,6,4,5,0,9,4,9,4,0,0.3019631500259692
8,5,6,5,1,7,7,8,3,0,10,10,4,7,0.6228925424890388
10,2,7,3,4,3,8,4,6,7,1,8,9,9,0.6443514736828964
2,3,9,10,6,2,4,10,2,7,4,2,7,2,0.4435625230172567
8,3,1,8,10,10,5,6,3,4,7,7,2,1,0.56956312550159
2,5,1,0,3,1,0,8,10,4,6,1,6,8,0.2862901773534981
7,7,5,10,10,5,4,7,6,0,10,3,0,6,0.6119324834854272
8,4,4,2,6,6,2,2,1,8,4,6,4,9,0.48301014930480224
4,9,9,2,9,4,5,9,8,5,7,8,6,7,0.6894192683633806
8,5,6,8,7,3,5,2,3,9,5,9,0,1,0.5548908411448602
2,10,2,4,6,7,6,4,0,6,9,4,9,7,0.5065200783610396
0,10,9,0,8,5,2,7,4,4,2,0,2,7,0.35809549937091595
1,4,9,0,6,6,3,3,6,8,0,1,10,6,0.3778031626308503
4,8,0,7,8,2,3,10,3,3,2,10,3,8,0.5154447823882088
9,4,9,5,4,2,0,5,2,5,6,7,3,3,0.48976137358550237
1,9,4,5,0,6,6,0,0,6,5,8,3,1,0.3094366241720816
5,8,2,3,2,3,8,7,4,5,1,6,5,6,0.4512102341918639
7,3,1,2,5,1,5,10,8,8,7,6,8,10,0.5823829667848188
2,3,0,9,1,10,5,7,1,7,0,8,1,8,0.38884686028810456
7,9,0,4,5,3,10,6,8,7,10,3,8,0,0.5829566353029662
3,5,8,10,0,5,0,10,8,0,10,0,0,6,0.42447474810046204
8,7,9,6,5,5,5,3,3,1,10,9,0,1,0.5627152941650355
6,7,10,1,2,3,5,0,0,10,10,10,2,4,0.4994166982496069
6,1,5,4,8,6,9,1,3,2,1,8,6,8,0.4582405483763017
1,2,2,9,5,10,3,4,2,3,9,6,10,1,0.39107967863641263
5,9,9,0,9,6,2,9,10,4,6,0,1,6,0.5550106029684011
9,3,10,2,9,6,5,5,7,9,5,9,0,2,0.6505159025943221
0,9,4,5,4,5,8,2,8,2,7,3,2,8,0.4071508067960726
8,3,2,3,4,7,5,0,7,1,6,0,3,3,0.3261355999201533
5,9,9,6,5,0,4,4,7,5,8,2,10,8,0.600106333526846
7,6,3,9,7,3,10,1,9,7,7,3,5,8,0.6450465399091588
7,1,5,7,7,0,6,8,4,9,3,8,4,6,0.5534300538226947
4,2,9,4,5,2,3,8,9,2,8,5,2,1,0.3980161749119465
3,10,1,9,5,1,1,1,5,2,3,1,10,5,0.3521643079847753
6,2,3,0,0,5,0,1,2,3,7,6,10,8,0.30423729547129763
1,2,2,8,0,10,7,0,4,9,3,10,8,5,0.42397790098759375
6,1,8,0,4,4,6,5,10,1,0,1,8,0,0.3278880372053344
1,6,1,2,10,8,0,1,8,0,8,3,9,6,0.36112183391541386
7,8,1,3,4,8,3,9,9,10,2,4,5,1,0.5650168004548528
6,10,3,1,10,5,3,0,4,6,2,5,4,8,0.5008369387959859
0,9,4,9,3,2,8,9,7,3,7,7,0,9,0.513668450486959
8,9,8,7,0,3,10,5,2,2,3,3,10,4,0.5736850809243627
4,9,10,0,3,6,9,4,2,0,5,1,7,4,0.42280635166352215
8,6,6,7,4,0,1,3,5,6,4,10,1,6,0.5178347591204686
0,9,2,2,1,5,4,10,8,2,1,4,0,5,0.2989298554526467
1,6,7,8,4,5,10,0,4,3,1,6,5,5,0.40315185004302334
5,1,7,10,6,8,8,1,8,2,5,1,3,8,0.4992483893694786
2,0,0,0,2,9,5,8,2,1,9,5,6,9,0.3047628124952964
3,1,10,4,8,10,9,6,7,6,7,3,3,7,0.5770719751938227
7,3,5,6,1,7,0,4,6,4,6,7,4,5,0.4692061301607125
1,5,8,9,9,1,10,1,2,2,5,5,7,8,0.45784517202559544
7,7,0,7,1,5,9,4,5,5,6,2,6,0,0.441701937551116
1,5,10,4,2,9,7,2,5,10,1,10,1,5,0.494766348748444
1,4,10,0,3,2,10,4,4,5,10,2,4,3,0.3264499935080098
6,8,10,5,3,8,10,4,6,0,5,4,9,0,0.5870207925022013
8,9,5,4,7,0,7,9,7,9,7,2,2,4,0.6226685894437465
1,2,1,10,3,7,2,9,1,3,3,10,5,6,0.38562012699363796
3,2,4,5,1,8,3,9,1,4,0,0,0,2,0.1984686959527784
10,10,6,10,1,1,3,6,7,3,7,2,4,1,0.5763087400095024
10,10,4,6,9,5,3,7,0,1,4,10,0,6,0.6265640236501059
6,3,4,1,6,8,2,4,0,0,2,6,1,9,0.34267005585156673
4,5,3,0,10,5,4,10,9,1,5,2,2,4,0.4138159294529116
3,6,7,7,1,4,7,2,5,4,1,7,9,4,0.4515834807338012
6,6,6,2,7,10,5,7,5,10,4,7,9,9,0.7291020986573523
6,9,8,4,4,10,7,10,6,1,6,7,5,4,0.6943499164109371
3,1,0,7,9,4,9,1,1,9,10,7,2,8,0.4261650467441736
0,5,2,1,5,4,10,8,7,1,7,7,4,9,0.39979270606275263
1,2,9,1,1,5,10,1,4,9,0,4,2,9,0.3189603031589969
10,8,8,0,7,1,7,4,10,0,1,6,2,2,0.5330870942182577
4,6,7,3,6,7,3,4,8,0,7,10,9,3,0.5498162957807462
5,8,4,5,10,8,0,1,5,8,3,9,6,3,0.5637411465667114
5,9,4,4,8,6,0,6,4,0,2,7,3,0,0.4089148266649695
8,8,7,1,8,8,9,9,4,1,0,0,6,6,0.5835415442697581
0,9,8,6,4,6,5,1,5,0,7,2,10,1,0.3782504172837151
0,8,4,10,4,4,2,6,3,6,4,6,8,1,0.40595267903882054
3,6,9,2,6,3,3,5,10,4,2,9,7,6,0.5313488355744804
5,4,3,2,9,8,6,6,7,10,5,2,7,3,0.5362889620837814
7,3,3,0,2,7,6,7,2,8,3,0,3,5,0.35635246795385384
5,3,7,4,3,6,10,1,8,1,4,6,10,9,0.5388241803011052
4,6,8,1,10,1,0,0,7,9,4,0,7,7,0.40915786423291506
10,8,5,7,7,7,7,10,8,8,1,5,3,2,0.7421529538379963
1,4,10,6,5,3,10,8,8,7,10,7,6,8,0.6387607188496571
6,6,9,5,2,4,4,3,0,5,10,3,0,9,0.46021644614473467
5,4,2,0,3,10,5,10,1,2,5,2,1,6,0.34523024768263616
5,6,8,4,4,2,4,1,1,2,7,9,1,2,0.36510889377948924
8,9,8,6,9,9,1,0,0,2,10,9,0,10,0.6434884442307931
2,4,9,6,6,1,0,4,6,3,5,8,8,3,0.40308970631888985
10,4,5,10,3,1,6,4,3,9,7,6,10,7,0.6785588789162745
3,2,8,2,8,8,8,5,4,0,9,2,1,9,0.43331804332705803
5,5,7,9,7,7,10,3,5,9,5,3,2,7,0.6295554331125716
5,5,10,5,10,10,0,8,7,5,2,6,5,10,0.6822715756674147
9,1,3,4,5,9,8,3,5,0,4,4,5,6,0.47788121107337483
4,10,1,10,10,6,10,0,7,0,1,4,9,7,0.5818912428598881
3,9,8,3,7,8,9,6,8,9,5,8,4,2,0.6656998111886581
0,3,7,8,9,4,5,9,6,5,4,10,9,2,0.5318622547414208
4,10,10,6,5,0,0,3,6,2,2,2,5,1,0.3779356117802067
9,2,0,3,2,0,0,5,0,3,8,4,9,2,0.2857953745348185
0,4,0,2,5,3,2,1,10,10,4,1,9,6,0.2809179735803146
9,1,5,10,9,9,6,4,6,5,7,10,4,1,0.6814675617002854
5,6,6,8,8,1,9,1,1,1,6,8,3,2,0.4359565658075874
1,5,9,9,6,9,4,1,7,0,2,6,5,9,0.4977232528942344
3,2,7,8,0,3,1,3,2,4,8,10,7,5,0.39176443408397327
6,3,7,2,4,4,6,2,2,2,3,7,9,5,0.41173340622236326
3,10,4,9,1,7,3,1,6,1,2,4,3,8,0.42752270736820513
1,7,6,10,3,8,0,5,3,6,7,5,6,5,0.4852983448170935
7,1,1,8,10,1,5,5,1,3,0,10,7,10,0.48420015675625716
7,1,7,5,7,8,7,9,10,10,9,5,2,5,0.7017749291518548
1,0,1,5,0,8,0,8,7,9,8,10,4,1,0.3472428771970322
3,2,1,10,4,1,5,5,2,8,7,1,9,9,0.39946541478228453
2,8,1,3,6,9,5,2,9,5,5,6,5,0,0.42280394125484055
7,0,10,6,9,6,7,5,9,7,4,1,1,8,0.5935845763647727
8,2,1,10,3,7,5,2,6,2,9,10,7,9,0.6101882074152872
7,0,2,1,10,2,1,7,1,7,2,9,5,1,0.3562590660321374
10,7,10,6,9,8,3,5,4,4,1,0,6,10,0.6866127511729183
8,8,1,1,9,7,10,4,10,3,5,10,1,5,0.6476726400630975
3,5,5,9,3,0,9,7,3,3,4,5,4,6,0.421188420302403
1,9,1,5,5,1,4,10,10,9,0,1,0,8,0.3960484785718652
6,7,4,6,4,8,7,3,6,8,4,2,7,4,0.5615616681239046
10,8,10,0,9,8,7,1,5,0,1,1,4,6,0.566316267992857
10,3,3,0,0,2,7,10,5,2,5,7,5,5,0.4601980157633545
2,9,5,8,6,5,0,6,2,4,4,6,6,1,0.4168308883983374
2,6,9,10,0,8,3,8,6,2,9,5,1,2,0.4817607760145839
0,0,5,3,2,8,5,1,4,2,7,0,2,2,0.12143078206744079
1,0,10,6,0,2,4,5,4,0,10,5,5,1,0.24986491390742674
6,9,4,0,0,8,0,9,7,6,10,5,0,1,0.4650207450158204
6,3,2,1,10,4,6,10,4,8,6,0,5,8,0.5057770615624866
4,5,0,7,0,7,5,0,4,0,2,10,7,10,0.40635648621105663
3,8,4,2,10,0,5,7,6,5,6,4,10,9,0.5371387269298703
9,8,0,6,0,0,6,3,1,6,4,1,7,7,0.4244605970950254
5,0,6,7,6,4,10,4,6,3,1,6,7,3,0.46145421153873406
8,6,0,1,8,8,9,2,8,8,7,3,7,3,0.5765261795904754
10,10,1,7,8,8,10,8,1,0,1,10,10,3,0.7286723117187592
3,3,5,1,1,6,7,9,2,2,4,7,4,0,0.29783644883212007
2,5,6,4,7,8,0,3,2,8,10,8,9,6,0.5180963033097991
10,2,2,8,9,1,4,0,2,5,9,6,1,9,0.5093230865610996
6,7,8,5,7,5,6,10,5,4,5,6,9,6,0.6873019145555059
3,1,4,1,3,3,9,2,3,2,4,9,0,9,0.2837065014740791
6,5,2,8,5,4,1,10,7,5,7,2,7,2,0.4928120209675502
5,4,5,0,10,10,4,10,6,6,9,8,5,3,0.624759137060534
9,7,10,10,0,6,7,2,3,9,2,3,2,1,0.5835391659191956
2,5,5,10,4,9,5,3,4,1,10,5,4,3,0.45373181108165217
10,10,9,9,3,10,8,3,2,2,8,1,10,3,0.7293470620510396
10,10,9,3,1,3,3,6,8,3,1,9,7,1,0.6210502864762619
1,3,2,0,4,7,0,6,9,4,8,3,6,0,0.2487382186533888
1,0,0,9,2,5,5,9,5,10,1,4,3,8,0.349074102127296
5,5,7,7,6,5,8,2,2,2,6,6,7,0,0.4718751336261059
0,6,5,4,2,0,7,2,1,9,1,6,10,3,0.2960714041874833
3,8,3,2,3,6,9,10,6,5,4,2,5,2,0.4488507520024379
4,5,1,10,1,10,4,2,7,6,3,3,9,2,0.459095861278134
10,6,1,4,5,7,7,6,8,6,4,5,0,8,0.617387545613881
10,0,10,4,8,10,0,3,7,8,4,6,3,3,0.6122066386666318
1,8,1,8,7,2,1,10,0,4,4,5,8,0,0.34002374049362427
9,3,10,8,1,1,9,7,10,5,4,1,9,2,0.6016210085294115
1,4,2,4,5,1,9,6,9,7,5,10,3,6,0.4469518779365989
8,4,1,10,5,3,8,2,6,9,8,2,3,6,0.5508969326071677
9,0,5,5,3,2,8,7,0,6,8,0,2,9,0.4454931395891819
9,5,1,3,9,0,2,10,10,8,10,6,8,1,0.6240495647599104
2,4,2,2,6,9,2,6,10,7,5,2,7,7,0.44455986581313645
9,2,1,0,6,8,4,4,2,1,9,7,2,8,0.4503681998292411
1,2,0,0,3,7,4,1,6,8,1,6,2,5,0.20085932874554402
5,0,1,4,8,5,7,3,3,4,8,8,5,9,0.4513219973108944
5,9,10,10,8,1,9,4,6,7,6,8,0,7,0.7042564793074707
3,3,1,8,1,10,7,3,7,2,6,9,8,0,0.43545156496732473
0,9,2,1,7,10,2,5,7,1,5,2,6,3,0.34073081807891187
8,9,1,6,9,1,5,7,0,2,7,4,3,1,0.46152380665652737
3,5,0,4,4,7,4,1,4,2,4,1,5,5,0.2618027669116817
7,8,1,9,6,0,0,1,2,3,8,5,2,7,0.41129630704988646
